g/d ishida mitsunari,3106
blazing sun god apollo,1059
br mikasa ackerman,2357
gjormungandr,2639
bpisces,2643
rl sphinx,2008
armored batman,2827
android 17,1566
bd uonuma usui,3043
awoken dancing queen hera-ur,1536
l cupid,1104
b/rkurapika,1014
d/rraoh,1857
g/lmeimei,1267
dd sephiroth,2765
g/gmystic stone knight,2741
l/d majin buu,1580
cell - first form,1939
g/g griffin,1212
l netero,1024
dryad,1102
なんなすみません！ヤ魔モトｐ,2221
ddsephiroth,2765
llfagan,1342
lb cat khezu,1610
dlgryps rider,1305
g/bkapibara-san,612
earth dragon,29
henry & chaos devil dragon,1291
dd-guardian,851
ltaurus,2650
rgguan yinping,1590
amadoromi dragon,1277
g ikkaku madarame,2697
ammy,138
rl zeus vulcan,1252
l brave don-chan,282
gl shew,1871
d/gshantotto,2775
bb kyoza meguri,2848
llapollo,574
g/l piccolo,1562
ultimate time mage,458
l/r santa claus,2524
g/d freyja,2394
gr ikkaku madarame,2697
l thouzer,1873
astaroth,2505
taurus,2650
anaphon,3090
dd yomi,990
lfirst form,2791
託されし魂・龍星座の紫龍,1724
a cao cao,2901
brussian nyadra,1958
rr leilan,2073
infernodragon muspelheim,408
gigarock,1593
g black zeus,2220
r/rsalamander,1109
d/rfenrir,2641
b sonia,2566
shew,1871
d/d akechi mitsuhide,3109
l/d tatsuya bitou,2610
g/gdaruma,440
d elysion,776
d/ghades,1748
awoken hermes,2748
dlultimecia,2785
baldebaran,284
rbartholomew,974
d fallen angel lucifer,2507
d/d batman+batarang,933
hyoga,2123
ddheavy metal dragon,1215
sylph,921
ancient wooden beast,2115
l/l saori,2124
bbisis,996
rhorus,2927
rhisoka,1022
takkun,2731
gl yamatsumi,2549
d/lsatsuki,2150
rrflamedragon muspelheim,408
ddhattori hanzo,1195
g/bcourage,2298
ld shin,1865
demon god masterion,1060
gd zhuge liang,1373
awoken sandalphon,1119
capricorn,2649
lightning dark tiamat,341
rlfire hammer kiriko another,1973
ldhera-sowilo,2946
bacubens,2555
dd saito hajime,3033
r/btheurgia,1750
rr exiled apollo,715
